"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-P53-REGULATION-PATHWAY",7526.47705267771,7297.65373129769,0.170740977270448,6.79747202619595e-30
"PID-P73PATHWAY",6349.12090747479,6291.50937362882,0.0871456232382037,6.75571064579038e-09
"PID-P75-NTR-PATHWAY",7447.26863943374,7468.52396487481,-0.0294159187829671,0.0503790843206148
"PID-PDGFRA-PATHWAY",8285.23692377383,8202.52632164116,0.0443353071350169,0.00318636189920384
"PID-PDGFRB-PATHWAY",8290.72741036654,8101.08105796306,0.166905871483579,1.21975281810453e-28
"PID-PI3KCI-AKT-PATHWAY",8269.00803229666,7920.83909121403,0.22684981573025,1.88578969932699e-51
"PID-PI3KCI-PATHWAY",8218.40032139622,8150.12832128633,0.069291216984668,4.04183491421525e-06
"PID-PI3K-PLC-TRK-PATHWAY",8211.4116653478,8260.75743764091,-0.0456161065649148,0.00241045853573614
"PID-PLK1-PATHWAY",3895.80571701335,3801.93646593721,0.0967989666094527,1.2024452277234e-10
"PID-PRL-SIGNALING-EVENTS-PATHWAY",7106.94146561278,7041.89550632164,0.0577736203362166,0.000121502953939685
"PID-PS1-PATHWAY",6982.60913906907,6851.70209099843,0.105703434286238,2.04551904222959e-12
"PID-PTP1B-PATHWAY",6986.06365001851,6866.78103179439,0.126187002293385,4.70262036937725e-17
"PID-RAC1-PATHWAY",8442.96796794117,8334.19820910263,0.108306965037275,5.82440293973692e-13
"PID-RAC1-REG-PATHWAY",7192.19662281239,6930.29552241485,0.197653851701593,1.7508518281416e-39
"PID-RANBP2-PATHWAY",8507.67692774356,7986.55797925228,0.165370102561545,3.80663730051955e-28
"PID-RAS-PATHWAY",7378.06986668627,7497.69858146843,-0.0783891504716802,1.84402968681066e-07
"PID-RB-1PATHWAY",7297.88772763614,7172.52672802614,0.14151380561941,4.80176946748035e-21
"PID-REELIN-PATHWAY",7855.8005223915,7753.1954858079,0.079365487908655,1.29638856263627e-07
"PID-REG-GR-PATHWAY",8028.96964996602,7846.53779692872,0.201305465248275,6.8483303965107e-41
"PID-RETINOIC-ACID-PATHWAY",6927.65868462809,6747.94546762964,0.099963805592599,2.93995748516006e-11
"PID-RET-PATHWAY",7233.24576452338,7151.61941330165,0.0719879416320943,1.67945120014847e-06
