"","pathwayName","fc","adj_pval","logQ","threshold"
"71","PID_GMCSF_PATHWAY",0.633434097638459,0.913238656353937,0.0394157136011118,"cond3"
"72","PID_HDAC_CLASSIII_PATHWAY",1.40359125638685,0.500006232320082,0.301024582373276,"cond3"
"73","PID_HDAC_CLASSII_PATHWAY",1.44400584316254,0.392649396446345,0.405995065778762,"cond3"
"74","PID_HDAC_CLASSI_PATHWAY",0.914615404386476,0.390557783641948,0.408314702477284,"cond3"
"75","PID_HEDGEHOG_2PATHWAY",-0.223505494893311,0.977577645438646,0.00984873813020723,"cond3"
"76","PID_HEDGEHOG_GLI_PATHWAY",0.510835872200502,0.931115200671064,0.0309965833359238,"cond3"
"77","PID_HES_HEY_PATHWAY",1.45069808466664,0.238534513333733,0.622448774418536,"cond3"
"78","PID_HIF1A_PATHWAY",2.90277903196935,0.36912125529743,0.432830945883721,"cond3"
"79","PID_HIF1_TFPATHWAY",0.666408787686275,0.718606840857659,0.14350865279712,"cond3"
"80","PID_HIF2PATHWAY",1.00904909782585,0.611510190175097,0.213596301505961,"cond3"
"81","PID_HIV_NEF_PATHWAY",-0.118786873111279,0.977577645438646,0.00984873813020723,"cond3"
"82","PID_HNF3A_PATHWAY",1.13846693575246,0.396009470977221,0.402294427347318,"cond3"
"83","PID_HNF3B_PATHWAY",1.19132445410937,0.36912125529743,0.432830945883721,"cond3"
"84","PID_IFNG_PATHWAY",1.48665143055996,0.352480689326188,0.452864670867766,"cond3"
"85","PID_IGF1_PATHWAY",0.503097685861884,0.977577645438646,0.00984873813020723,"cond3"
"86","PID_IL12_2PATHWAY",0.923362982259,0.372058983102923,0.429388205264495,"cond3"
"87","PID_IL12_STAT4_PATHWAY",1.02194543032613,0.650342828667537,0.186857644359777,"cond3"
"88","PID_IL1_PATHWAY",0.26094959649048,0.977577645438646,0.00984873813020723,"cond3"
"89","PID_IL23_PATHWAY",1.82164392054474,0.125480910532566,0.901422338573001,"cond1"
"90","PID_IL27_PATHWAY",2.15861387650531,0.125480910532566,0.901422338573001,"cond1"
"91","PID_IL2_1PATHWAY",1.40888364434866,0.307217712476695,0.512553748897251,"cond3"
"92","PID_IL2_PI3K_PATHWAY",1.85763622393681,0.307217712476695,0.512553748897251,"cond3"
"93","PID_IL2_STAT5_PATHWAY",1.28971637548812,0.390557783641948,0.408314702477284,"cond3"
"94","PID_IL3_PATHWAY",0.490270051743771,0.977577645438646,0.00984873813020723,"cond3"
"95","PID_IL4_2PATHWAY",1.12701540280042,0.29516233373636,0.529939064512151,"cond3"
"96","PID_IL5_PATHWAY",0.558490289359965,0.977577645438646,0.00984873813020723,"cond3"
"97","PID_IL6_7_PATHWAY",1.15046162242665,0.409934733525545,0.387285282611994,"cond3"
"98","PID_IL8_CXCR1_PATHWAY",0.0763140552673121,0.981392539954487,0.00815724762768845,"cond3"
"99","PID_IL8_CXCR2_PATHWAY",-0.0997075810707741,0.977577645438646,0.00984873813020723,"cond3"
"100","PID_ILK_PATHWAY",0.619130290406038,0.88383241577734,0.0536300741303024,"cond3"
"101","PID_INSULIN_GLUCOSE_PATHWAY",0.651420624413027,0.977577645438646,0.00984873813020723,"cond3"
"102","PID_INSULIN_PATHWAY",0.751241740090855,0.800281994985771,0.0967569538998543,"cond3"
"103","PID_INTEGRIN1_PATHWAY",0.345537499931511,0.977577645438646,0.00984873813020723,"cond3"
"104","PID_INTEGRIN2_PATHWAY",0.198488107081734,0.977577645438646,0.00984873813020723,"cond3"
"105","PID_INTEGRIN3_PATHWAY",0.686990553640632,0.849383805738498,0.0708960234789094,"cond3"
"106","PID_INTEGRIN4_PATHWAY",-0.875610012783949,0.977577645438646,0.00984873813020723,"cond3"
"107","PID_INTEGRIN5_PATHWAY",0.0143778715045812,0.997852335278403,0.000933721957704363,"cond3"
"108","PID_INTEGRIN_A4B1_PATHWAY",0.139513982010765,0.977577645438646,0.00984873813020723,"cond3"
"109","PID_INTEGRIN_A9B1_PATHWAY",0.398645971518324,0.977577645438646,0.00984873813020723,"cond3"
"110","PID_INTEGRIN_CS_PATHWAY",0.267787853803746,0.977577645438646,0.00984873813020723,"cond3"
"111","PID_KIT_PATHWAY",0.156162350110526,0.977577645438646,0.00984873813020723,"cond3"
"112","PID_LIS1_PATHWAY",0.485420655410872,0.977577645438646,0.00984873813020723,"cond3"
"113","PID_LKB1_PATHWAY",-0.351424788013233,0.977577645438646,0.00984873813020723,"cond3"
"114","PID_LPA4_PATHWAY",-0.328769004734891,0.977577645438646,0.00984873813020723,"cond3"
"115","PID_LYMPH_ANGIOGENESIS_PATHWAY",1.0436775572532,0.800281994985771,0.0967569538998543,"cond3"
"116","PID_LYSOPHOSPHOLIPID_PATHWAY",0.00957176227799123,0.997852335278403,0.000933721957704363,"cond3"
"117","PID_MAPK_TRK_PATHWAY",0.423977502656251,0.977577645438646,0.00984873813020723,"cond3"
"118","PID_MET_PATHWAY",-0.135041495354606,0.977577645438646,0.00984873813020723,"cond3"
"119","PID_MTOR_4PATHWAY",-0.129293207232417,0.977577645438646,0.00984873813020723,"cond3"
"120","PID_MYC_ACTIV_PATHWAY",0.0313597970375857,0.982840385049283,0.00751700660413607,"cond3"
"121","PID_MYC_PATHWAY",-0.218619347984152,0.977577645438646,0.00984873813020723,"cond3"
"122","PID_MYC_REPRESS_PATHWAY",1.20257177680798,0.271541474178701,0.566163828574804,"cond3"
"123","PID_NCADHERIN_PATHWAY",0.37774547461692,0.977577645438646,0.00984873813020723,"cond3"
"124","PID_NECTIN_PATHWAY",0.406171938157771,0.977577645438646,0.00984873813020723,"cond3"
"125","PID_NEPHRIN_NEPH1_PATHWAY",0.359935821122287,0.977577645438646,0.00984873813020723,"cond3"
"126","PID_NETRIN_PATHWAY",0.103822055672225,0.977577645438646,0.00984873813020723,"cond3"
"127","PID_NFAT_3PATHWAY",0.701992717116975,0.800281994985771,0.0967569538998543,"cond3"
"128","PID_NFAT_TFPATHWAY",1.67395203873824,0.125480910532566,0.901422338573001,"cond1"
"129","PID_NFKAPPAB_ATYPICAL_PATHWAY",0.364620706838151,0.977577645438646,0.00984873813020723,"cond3"
"130","PID_NFKAPPAB_CANONICAL_PATHWAY",-0.210841379085765,0.977577645438646,0.00984873813020723,"cond3"
