"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-EPHA2-FWD-PATHWAY",9014.90549201673,8576.82955482213,0.237208904705592,3.31080084863218e-59
"PID-EPHA-FWDPATHWAY",7957.03165921003,7978.01421054202,-0.0236268396577567,0.106062054857017
"PID-EPHB-FWD-PATHWAY",8058.07334488541,7946.59562216798,0.082043173962436,1.99983351145322e-08
"PID-EPHRINB-REV-PATHWAY",8555.86767160941,8202.59451644763,0.274056276937196,2.07406273728859e-78
"PID-EPO-PATHWAY",7660.04532013475,7407.77121539105,0.138025965724667,3.67761609332811e-21
"PID-ERA-GENOMIC-PATHWAY",6154.81235386377,5670.89530631057,0.27843387993383,7.12228397289017e-81
"PID-ERBB1-DOWNSTREAM-PATHWAY",9182.03828733745,9062.85135061436,0.0913997175966621,4.05142385885789e-10
"PID-ERBB1-INTERNALIZATION-PATHWAY",9261.73520666489,9210.04398101281,0.044992801237564,0.00208639680854835
"PID-ERBB1-RECEPTOR-PROXIMAL-PATHWAY",8871.60172778094,8688.2062596996,0.121089702998418,1.20186452152813e-16
"PID-ERBB2-ERBB3-PATHWAY",8187.46461668498,8032.49842590373,0.106298676496087,3.56385609319709e-13
"PID-ERBB4-PATHWAY",7911.99797089056,7810.9902646437,0.0709275056042962,1.22427480689473e-06
"PID-ERBB-NETWORK-PATHWAY",8092.59629788,8322.27263099377,-0.259830321695566,1.13932764324123e-70
"PID-ERB-GENOMIC-PATHWAY",6676.47997075303,5888.86022334584,0.243721981655233,2.11687872217953e-62
"PID-ER-NONGENOMIC-PATHWAY",6620.60615306494,6750.572380787,-0.104482894106412,8.87173782582563e-13
"PID-FAK-PATHWAY",8620.99153386297,8399.78385924583,0.140813504632905,5.8523025817987e-22
"PID-FANCONI-PATHWAY",5076.39541781023,4818.66284074938,0.200328961158889,9.72182697285738e-43
"PID-FAS-PATHWAY",7875.53117452604,7892.79208533538,-0.0172445953855753,0.238166089894399
"PID-FCER1-PATHWAY",9239.95282893267,8898.84738537087,0.251582525699292,2.27102456900464e-66
"PID-FGF-PATHWAY",6461.76373193575,6226.24308249984,0.237044132170382,3.97767498486121e-59
"PID-FOXM1-PATHWAY",2233.74906242042,2206.13533566003,0.0166348640163561,0.255172496192352
"PID-FOXO-PATHWAY",8755.4986873411,8503.79834885189,0.148512195699409,3.03053460882269e-24
