Genes,Naive,Early Extra-GC,Late Extra-GC,GC
SREBF1,1.722938286298483,2.5831395515215956,1.8675195151095907,1.918812809497141
BHLHE40,2.1046493083985407,2.155201587561372,2.560666695669537,1.9545308920992206
JUND,2.4961281745319654,2.560666695669537,2.155201587561372,2.289791741534137
ATF2,2.1404954401716765,1.8293677491452147,1.907184771502022,2.560666695669537
NR3C1,2.0768697442914648,2.2006639616381296,1.9915721637795698,2.549616859482951
RFX3,2.256455321266545,2.549616859482951,1.7522086685985965,2.063264092235686
ATF1,2.5171815837297977,2.5278768728465453,2.0431965291848764,2.248292010627383
STAT6,2.43550355271553,2.224194459048323,2.5278768728465453,2.4453558491585423
ATF6,2.50659947439926,2.4961281745319654,2.3330885472874607,2.406516015842278
MEF2D,2.1626365660488895,2.306886174893437,2.170127237778048,2.4961281745319654
ZFP64,2.485765387496419,2.2321626286974996,1.6759813032107118,1.73260019721022
STAT1,2.425747377770166,1.5231420989812647,2.1929419155442185,2.485765387496419
IKZF3,2.0976317357398937,2.485765387496419,2.2401948003947645,2.298302431202045
NFATC2,1.818729350940159,2.0976317357398937,2.4755088873292292,2.2162892795412104
IRF2,1.6805790124593416,2.425747377770166,2.2162892795412104,2.208446102080184
FOXO1,2.406516015842278,2.2729846232177553,2.2321626286974996,2.0431965291848764
TFE3,1.924677928949539,2.406516015842278,1.7277575727344323,1.5592181554550741
MLX,2.3970372718877337,1.9424825535830461,2.224194459048323,2.0976317357398937
BACH1,1.503648304300263,2.3970372718877337,1.9978813329728342,2.3330885472874607
IRF8,1.8240344031698519,2.1046493083985407,2.0768697442914648,2.3876475315378953
NR2C2,1.9424825535830461,2.0700437792210646,2.378345138875581,1.9365123865965426
ARID5B,1.5715386398431146,1.7874768074360543,2.3691284837706577,2.0042305606514934
TGIF2,1.6311307370453605,2.3599960002073845,1.7038900913277886,1.600890851855642
USF1,2.3599960002073845,1.9728800307674168,2.0042305606514934,2.023523763586172
IRF7,1.7423563721555848,1.5075167810781838,1.9305776510767276,2.350946164687467
FOXJ2,1.5152989215202388,1.3500493486249312,2.3419774947047065,1.6180586554780074
IRF4,1.8455406083908155,1.918812809497141,2.2729846232177553,2.3242779176053063
SRF,2.315544237636551,2.023523763586172,1.6577989841275214,1.8899923709616495
MTF2,1.7977861770949155,1.924677928949539,1.73260019721022,2.315544237636551
IRF9,1.5470476198348186,1.411502127838595,1.7374663868613927,2.2813528728882715
ETV1,1.511400281104581,1.3600327926091147,2.2646858204030598,1.462054407001426
ZBED6,1.6714046361833004,1.4997947349842733,2.248292010627383,1.6623136644820482
NR4A1,2.248292010627383,1.8564696789230057,2.1260024328691096,2.056530060054342
MYC,2.2401948003947645,1.5840128140682908,2.023523763586172,2.0700437792210646
HSF1,2.0700437792210646,2.1404954401716765,1.818729350940159,2.2321626286974996
GTF3A,2.2162892795412104,2.0837426235792265,1.6898383378721384,2.1929419155442185
KLF16,2.2006639616381296,1.7977861770949155,1.5510880293718239,1.5192128208413749
PURA,2.1929419155442185,1.503648304300263,2.010620358750264,1.7423563721555848
TCF3,2.1478214802637488,2.17767444341343,1.7671715412753088,2.1404954401716765
SIX5,1.3940496778873688,1.3940496778873688,2.17767444341343,1.3871530988283083
ZBTB7A,2.1117164756216327,2.1626365660488895,1.484527262853485,1.9790720010153382
SMAD3,1.6223970570766058,1.6355263485183984,2.036595845153525,2.1478214802637488
MAFF,1.8347296922865999,1.8899923709616495,2.1478214802637488,1.878692815707716
E2F6,1.484527262853485,1.4256867628305516,2.1404954401716765,1.9606099381756024
FOXO3,2.133222680842596,2.010620358750264,1.9014210667852722,2.1260024328691096
MBD2,1.7671715412753088,2.1260024328691096,1.7133688352823322,1.7926182069364733
MEF2A,1.699184200290376,1.644375963795381,1.5390154481375544,2.1188339433904972
HINFP,1.4997947349842733,2.1188339433904972,1.6668488196474394,1.4959559586771076
GATA3,1.5798374426578097,1.9915721637795698,2.1117164756216327,2.0170512490805548
HIVEP2,1.7823617067692836,1.5192128208413749,2.090663066423801,1.8455406083908155
ZIC1,1.4221216966660553,2.090663066423801,1.366744227197101,1.3633828794943965
FOXK1,1.8899923709616495,2.0768697442914648,1.5152989215202388,1.7671715412753088
BPTF,1.8401205409214765,1.7038900913277886,2.063264092235686,1.411502127838595
KLF15,2.036595845153525,2.056530060054342,1.918812809497141,1.8401205409214765
FOXN3,2.056530060054342,1.6714046361833004,1.7086182325237342,1.7772726372618126
POU2F1,1.5192128208413749,1.7722093353052661,2.056530060054342,1.8029809939720194
CEBPZ,2.0498410719035456,1.9545308920992206,1.6267543624455614,1.7823617067692836
KLF1,2.0431965291848764,2.0300384446073654,1.9365123865965426,1.818729350940159
ATF7,2.0300384446073654,1.7823617067692836,1.699184200290376,1.8347296922865999
MTF1,1.9365123865965426,2.0170512490805548,1.7926182069364733,1.907184771502022
ETV2,1.411502127838595,1.722938286298483,1.4292645841784355,1.9978813329728342
NFAT5,1.9484885776432574,1.699184200290376,1.9484885776432574,1.9915721637795698
TP53,1.7621589994517648,1.465764986397962,1.985302550765974,1.6945003509779495
TFAP2A,1.7086182325237342,1.985302550765974,1.6094379124341003,1.699184200290376
ZFP14,1.9790720010153382,1.7772726372618126,1.7423563721555848,1.722938286298483
ZBTB37,1.8029809939720194,1.9606099381756024,1.7772726372618126,1.5840128140682908
PATZ1,1.9305776510767276,1.4328552523091642,1.9606099381756024,1.8730905601590457
TFDP2,1.9545308920992206,1.7277575727344323,1.85099021315838,1.85099021315838
GTF2B,1.6094379124341003,1.9484885776432574,1.511400281104581,1.6533045945396823
EGR4,1.462054407001426,1.9129818891863484,1.4583575451201003,1.4328552523091642
SALL2,1.7522086685985965,1.4400755002826509,1.462054407001426,1.9129818891863484
WT1,1.9129818891863484,1.7423563721555848,1.8293677491452147,1.7874768074360543
PAX6,1.907184771502022,1.7472703869580135,1.8730905601590457,1.3735010096599811
PRDM9,1.6180586554780074,1.907184771502022,1.600890851855642,1.555144830067438
TFAP2C,1.6267543624455614,1.9014210667852722,1.5840128140682908,1.6488303141447611
E2F1,1.5075167810781838,1.4510045708148414,1.8899923709616495,1.4437052683332299
PBX2,1.8843266334259718,1.8730905601590457,1.555144830067438,1.5075167810781838
RBAK,1.878692815707716,1.476980057218102,1.480746540013579,1.3500493486249312
TCF4,1.8619793347339757,1.8455406083908155,1.7823617067692836,1.4292645841784355
KLF5,1.85099021315838,1.6533045945396823,1.6399413667275153,1.6759813032107118
E2F3,1.6945003509779495,1.6851979583156358,1.6533045945396823,1.8293677491452147
ZSCAN10,1.480746540013579,1.8240344031698519,1.4150294683565634,1.3975158858638552
TFAP4,1.7571714579407254,1.33689126404742,1.3768965986611195,1.8134522938393147
KLF14,1.8082029379531714,1.531047278488378,1.7472703869580135,1.6577989841275214
CTCFL,1.555144830067438,1.3336286184126038,1.8082029379531714,1.5390154481375544
ARNT,1.5592181554550741,1.5510880293718239,1.7977861770949155,1.5270868772722808
XPA,1.7926182069364733,1.5350234268680172,1.5192128208413749,1.5924162248646696
RARA,1.6668488196474394,1.5270868772722808,1.7874768074360543,1.4221216966660553
THAP1,1.7038900913277886,1.7671715412753088,1.7621589994517648,1.3401645893923895
ZFP42,1.5924162248646696,1.7621589994517648,1.5924162248646696,1.5430234695350935
NANOG,1.4694893854889444,1.7522086685985965,1.3633828794943965,1.476980057218102
CEBPG,1.6851979583156358,1.6488303141447611,1.33689126404742,1.7472703869580135
KMT2A,1.73260019721022,1.40099415024018,1.4400755002826509,1.5798374426578097
TFEB,1.7277575727344323,1.511400281104581,1.5470476198348186,1.33689126404742
XBP1,1.5231420989812647,1.4883223338220364,1.722938286298483,1.6805790124593416
STAT4,1.7181421140349897,1.6223970570766058,1.5592181554550741,1.503648304300263
ZFP3,1.33689126404742,1.7086182325237342,1.4883223338220364,1.3940496778873688
MBNL2,1.6898383378721384,1.4292645841784355,1.5430234695350935,1.3533661012509255
MXD1,1.40099415024018,1.3905954430192813,1.6851979583156358,1.531047278488378
HBP1,1.4883223338220364,1.5470476198348186,1.3467435604904319,1.6851979583156358
ELF5,1.465764986397962,1.6759813032107118,1.3975158858638552,1.4583575451201003
ARNTL,1.6623136644820482,1.3701169116757406,1.4959559586771076,1.563308140706599
ZBTB18,1.6577989841275214,1.4221216966660553,1.4546742997038036,1.3467435604904319
